f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
365857,703804,551706,2779.78,14858.6,3.88764,106.747,45996.1,16,89,20,324,7895.26,156.448,156.448,161.05,0.369231,28.4545,0.186667,0.663137,0.187082,0.531359,11.1892,4.11561
116941,353701,199828,1892.56,5200.39,3.58333,104.192,9503.32,8,48,30,213,4919.47,150.638,150.638,166.167,0.548387,12.3125,0.263158,0.585208,0.363927,0.94598,3.90075,2.23256
164648,459885,290570,2051.22,4801.8,3.35135,100.356,10207,6,37,20,235,5518.56,148.66,148.66,160.25,0.761905,12.8235,0.423077,0.566637,0.427177,1.14927,2.29374,1.79032
221853,691530,405464,2451.38,10023.1,3.6,102.203,17203.4,9,70,25,279,6895.33,148.935,148.935,164.72,0.458333,14.5,0.186441,0.547158,0.244574,0.687947,5.42809,2.5
208426,524076,363646,2273.47,8505.79,3.58209,104.26,10568.3,8,67,19,316,7523.93,153.5,153.5,153.842,0.395833,14.0476,0.264151,0.573156,0.267285,0.884565,3.39726,2.23333
209370,508200,350950,2252.7,8692.51,3.76667,101.916,32047.4,14,60,20,243,5884.02,150.543,150.543,160.2,0.395349,23.3,0.22449,0.596581,0.259154,0.676907,9.18396,3.71681
269965,665250,459100,2586.18,11190.8,3.66234,103.361,17203.4,11,77,27,360,8601.17,157.017,157.017,166.259,0.425926,21.5,0.241935,0.588032,0.231099,0.768594,4.90678,3.00355
198372,489585,350188,2196.53,9009.18,3.64516,103.036,43743.5,15,62,23,281,6387.51,140.164,140.164,162,0.319149,10.24,0.192308,0.566473,0.24381,0.709,13.6718,4.11504
161358,413253,279144,2004.77,7789.69,3.67742,105.247,13273.2,11,62,24,258,5919.65,152.182,152.182,163.583,0.319149,17.4286,0.169811,0.578047,0.257362,0.759933,5.10008,2.99123
249190,629475,399998,2376.35,11150.8,3.725,103.266,24884.6,13,80,22,321,7425.11,147.016,147.016,156.818,0.538462,15.05,0.15942,0.622977,0.213111,0.665883,7.98895,3.48993
238323,554125,387308,2294.77,9923.88,3.57333,102.176,17671.5,12,75,25,340,8021.22,152.271,152.271,164.56,0.442308,17.8889,0.190476,0.615333,0.231237,0.808274,5.56119,3.35821
277557,710100,442162,2495.58,11355,3.64706,100.111,24884.6,13,85,26,346,8178.67,148.78,148.78,164.5,0.517857,20.625,0.197183,0.627728,0.219778,0.720271,7.62072,3.56452
263117,757345,477454,2569.24,12219.1,3.58242,107.983,28952.9,11,91,22,301,8668.02,160.017,160.017,158.318,0.4,59.2,0.166667,0.551084,0.210264,0.709384,10.0135,3.07055
240281,503480,350346,2315.92,11325.6,3.86842,108.495,23778.7,12,76,45,301,6348.36,145.688,145.688,171.644,0.407407,14.05,0.151515,0.685837,0.204485,0.560531,7.52114,3.10204
312372,666824,489482,2615.09,13086.3,3.7931,105.379,33329.2,12,87,30,350,8290.98,153.937,153.937,166.267,0.526316,34,0.208333,0.638169,0.199833,0.63356,9.28265,3.16364
243703,502052,343401,2240.95,10229.3,3.81818,109.731,16741.5,11,66,51,295,6762.89,149.492,149.492,171.49,0.375,16.3529,0.222222,0.709676,0.219073,0.661133,4.53396,2.88095
212035,617732,420034,2466.66,8754.12,3.52113,106.788,5808.8,6,71,15,314,7330.06,153.258,153.258,150.533,0.510638,23.1538,0.224138,0.504804,0.281772,0.837327,1.94508,1.704
230073,578485,342490,2376.36,9397.22,3.33333,108.968,18145.8,9,81,31,321,7479.81,153.991,153.991,163.484,0.327869,28.1818,0.265625,0.671766,0.252879,0.795959,6.38847,2.7
172876,824688,510446,2805.87,6737.84,3.27869,107.532,40115,15,61,15,286,7272.3,159.783,159.783,152.067,0.297872,21,0.297872,0.338677,0.416434,1.07932,14.1547,4.575
359288,815153,550650,2773.72,14968.4,3.90361,108.336,45996.1,17,83,24,320,7853.26,158.003,158.003,163.125,0.383333,34.5556,0.185714,0.652479,0.185305,0.524654,10.6257,4.35494
115333,328454,199948,1889.53,4068.66,3.24324,112.434,8171.28,7,37,28,183,4832.65,155.557,155.557,163.107,0.423077,21.875,0.37037,0.576814,0.46441,1.18777,2.62143,2.15833
167611,459672,290960,2051.81,6756.85,3.32075,109.951,25446.9,13,53,19,235,5560.15,146.855,146.855,157.053,0.204545,15.7857,0.152174,0.576063,0.303663,0.822891,8.0465,3.91477
215038,694089,404452,2452.2,8103.02,3.61404,100.262,17203.4,6,57,29,283,6921.05,146.714,146.714,164.793,0.5,9.48148,0.1875,0.531676,0.302629,0.854133,4.56009,1.66019
213766,525481,365338,2279.4,8615.93,3.35135,108.354,11689.9,11,74,21,316,7557.19,153.155,153.155,157,0.275862,14.8,0.233333,0.585118,0.264556,0.877117,4.04671,3.28226
207375,504135,349980,2244.52,9457.94,3.90909,104.396,17203.4,11,66,23,233,5850.78,149.322,149.322,160.478,0.466667,22.3,0.137931,0.592534,0.237315,0.61861,5.47521,2.81395
272516,666272,461103,2587.43,12993.5,3.66292,104.312,16286,10,89,29,359,8641.48,152.393,152.393,166.172,0.369231,13.9583,0.236111,0.591009,0.199132,0.66506,5.31879,2.73006
199682,489309,350578,2198.65,8846.16,3.5942,103.648,33979.5,15,69,22,271,6375.38,145.018,145.018,158.364,0.38,14.0556,0.189655,0.569582,0.248543,0.720695,11.7416,4.17339
157244,413253,278415,2003.41,6049.45,3.34615,108.811,12076.3,9,52,22,250,5899.31,151.588,151.588,157.682,0.3,14.625,0.209302,0.564783,0.331173,0.975181,3.99358,2.68966
243799,626240,397030,2368.56,10189.8,3.6,112.426,23778.7,11,75,23,244,7228.87,157.467,157.467,159.217,0.363636,23.4,0.171875,0.614057,0.232444,0.709421,7.31507,3.05556
246131,557424,388907,2300.31,10485.8,3.37931,104.647,17671.5,10,87,22,349,8089.15,149.842,149.842,158.591,0.380952,18.3889,0.16,0.63288,0.219374,0.771438,6.24633,2.95918
274056,706500,438978,2488.01,11702.8,3.54217,106.66,28352.9,13,83,24,345,8111.89,148.241,148.241,162.333,0.33871,11.7778,0.169014,0.624304,0.212599,0.693158,8.58689,3.67007
260353,760760,482667,2580.62,11917.8,3.58242,105.004,28352.9,18,91,24,367,8845.29,155.177,155.177,162.708,0.444444,18.3158,0.166667,0.539406,0.216535,0.742192,9.91003,5.02454
